,Ticker,ETF
533,REGN,"QQQ,MTUM,ARKG"
534,RGEN,QQQJ
535,RIOT,XSW
536,RJF,MTUM
537,RMBS,"PTF,PSJ"
538,RNG,XSW
539,ROCC,FFTY
540,ROKU,"QQQJ,ARKK,ARKW"
541,ROP,XSW
542,ROST,QQQ
543,RPAY,XSW
544,RPD,"XSW,HACK"
545,RPRX,QQQJ
546,RPTX,ARKG
547,RSG,MTUM
548,RSKD,IZRL
549,RUN,"QQQJ,TAN"
550,RXRX,ARKG
551,S,"XSW,HACK"
552,SABR,XSW
553,SAIC,HACK
554,SBUX,QQQ
555,SCPL,XSW
556,SCWX,HACK
557,SDGR,ARKG
558,SE,"ARKK,ARKF,ARKW"
559,SEDG,"QQQJ,TAN,IZRL"
560,SEE,MTUM
561,SGEN,QQQ
562,SGFY,"ARKK,ARKG"
563,SHLS,TAN
564,SHOP,"ARKK,ARKF,ARKW"
565,SI,ARKF
566,SILC,IZRL
567,SIRI,QQQ
568,SITM,PTF
569,SJM,MTUM
570,SKLZ,XSW
571,SLB,MTUM
572,SLGC,ARKG
573,SMAR,XSW
574,SMWB,IZRL
575,SNOW,ARKW
576,SNPS,"QQQ,PTF,PSJ,XSW,ARKQ,ARKX"
577,SNY,QQQJ
578,SO,MTUM
579,SOL,"TAN,TAN"
580,SPLK,"QQQ,XSW,HACK"
581,SPNS,"PSJ,IZRL"
582,SPOT,"ARKK,ARKW"
583,SPR,ARKX
584,SPSC,XSW
585,SPT,XSW
586,SPWR,TAN
587,SQ,"PTF,XSW,ARKK,ARKF,ARKW"
588,SRE,MTUM
589,SSNC,"QQQJ,XSW"
590,SST,PSJ
591,SSYS,"ARKK,ARKQ,IZRL"
592,STLD,"QQQJ,MTUM,FFTY"
593,STNE,ARKF
594,STX,"QQQJ,PTF"
595,SUMO,"XSW,HACK"
596,SURF,ARKG
597,SWCH,PTF
598,SWI,HACK
599,SWKS,QQQ
600,SYNA,PTF
601,TAP,MTUM
602,TARO,IZRL
603,TASK,XSW
