Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
MQ,7.510000228881836,6.050000190734862,37.900001525878906,7.882249975204468,8.693699998855589,9.179749994277953,9.694700005849203,11.367924990653991,Technology | Software - Infrastructure | USA,,,171.08,52.7,-402.4,-0.31,2022-08-11,2022-07-19,95.72586202729984,92.73143596373323,,
MRK,86.87000274658203,70.88999938964844,95.72000122070312,89.1125,90.3047998046875,89.37854248046875,85.72315668741862,83.35880458831787,Healthcare | Drug Manufacturers - General | USA,13.24,1.2,29.3,28.0,173.5,7.46,2022-08-29,2022-08-12,96.91522670993584,99.0786829952515,,
MRNA,134.89999389648438,115.61000061035156,464.8500061035156,148.52449951171874,158.7823992919922,148.98559959411622,152.01346628824868,174.67134971618648,Healthcare | Biotechnology | USA,4.11,,5.74,9.1,-1.8,8.13,2022-08-11,2022-08-03,96.83381943549514,99.63246880393913,,
MRO,24.920000076293945,11.020000457763672,33.240001678466804,24.871499919891356,23.322999839782714,25.253099899291996,24.61316692352295,22.70885580539703,Energy | Oil & Gas E&P | USA,5.91,0.36,5.02,101.8,165.5,4.26,2022-09-07,2022-08-10,108.88927418669552,103.12191370067086,,
MRVL,46.7599983215332,41.06999969482422,93.8499984741211,51.08150005340576,50.47161087036133,53.09151214599609,58.2135693359375,63.75654899597168,Technology | Semiconductors | USA,,,56.49,41.0,-27.4,2.82,2022-08-11,2022-07-07,107.71784303376356,100.1458488274882,,
MSFT,258.08999633789057,241.50999450683602,349.6700134277344,275.8150009155273,269.9723992919922,268.63999893188475,278.14259958902994,289.4109497833252,Technology | Software - Infrastructure | USA,26.76,1.74,41.64,12.4,19.8,11.94,2022-08-22,2022-07-27,105.61284173804928,102.25110307677559,,
MSTR,218.6100006103516,134.08999633789062,891.3800048828125,277.94149856567384,258.12859893798833,261.1303993225098,318.6747335815429,375.56605110168465,Technology | Software - Application | USA,,,67.47,-2.6,-166.5,1.8,2022-08-18,2022-06-21,131.57927719882514,115.34160585180422,,
MTCH,57.52000045776367,53.1870002746582,182.0,60.706999969482425,66.5365991973877,72.17414958953856,83.17963310241699,93.94447477340698,Communication Services | Internet Content & Information | USA,168.68,7.86,32.28,12.2,-55.9,2.06,2022-08-17,2022-08-16,86.86837690368301,88.23636194440809,,
MTDR,56.040000915527344,26.729999542236328,67.77999877929689,59.52230758666993,53.62861862182617,54.01481662750244,52.76593452453614,49.64531713485718,Energy | Oil & Gas E&P | USA,6.45,0.62,4.13,164.1,196.1,10.66,2022-08-30,2022-07-19,120.3687552579341,110.55783178067968,,
MTLS,12.1899995803833,11.130000114440918,27.54999923706055,12.281999921798706,13.250199947357178,14.28709994316101,16.1081999651591,17.679649977684022,Technology | Software - Application | Belgium,50.16,,37.44,14.6,275.3,0.14,2022-08-08,2022-09-07,90.50458859833891,90.98490344595648,,
MTRX,5.670000076293945,4.239999771118163,11.760000228881836,5.6704999923706065,5.297999982833862,5.70819999217987,6.320066655476888,6.701949985027312,Energy | Oil & Gas Equipment & Services | USA,,,,19.4,-10.9,-0.07,2022-09-01,2022-07-18,110.88946135871096,102.67697020604929,,
MTTR,4.389999866485597,3.509999990463257,37.599998474121094,4.920500016212463,4.471400012969972,4.821750013828278,5.7653666671117145,9.312025011777877,Technology | Software - Application | USA,,,,-3.4,-692.1,-0.38,2022-08-19,2022-07-05,122.70072227972831,107.31819489496951,,
MU,55.0,51.4000015258789,98.4499969482422,59.472500038146975,59.883732604980466,63.65166351318359,69.54473780314127,73.99062519073486,Technology | Semiconductors | USA,6.27,13.07,13.77,16.4,116.2,3.92,2022-08-19,2022-08-12,100.88794139790168,97.09316778649416,,
MUSA,291.80999755859375,145.24000549316406,303.0899963378906,293.5315002441406,277.2557998657227,258.5275997924805,235.65432718912757,224.25165138244628,Consumer Cyclical | Specialty Retail | USA,13.38,2.97,11.25,51.9,14.1,14.23,2022-08-22,2022-08-18,111.63426664070026,109.87588025629744,,
MYNA,7.5,,,8.02105004787445,8.114200010299683,8.533070001602173,9.16558001200358,10.158640027046204,Technology | Communication Equipment | Germany,,,,-43.6,,,2022-08-03,2022-06-30,101.0592084732091,98.26838387570602,,
MYPS,3.4100000858306885,3.240000009536743,6.599999904632568,3.80900000333786,3.943100023269653,4.758250012397767,4.702633333206177,4.566924993991852,Communication Services | Electronic Gaming & Multimedia | USA,,,12.92,-3.4,-15.6,-0.06,2022-08-24,2022-07-21,92.99158046451824,90.02212857826855,,
