Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
CSX,31.239999771118164,27.600000381469727,38.630001068115234,33.19806795120239,31.332881889343263,31.886445350646973,32.892039388020834,33.60294353485107,Industrials | Railroads | USA,17.45,1.27,26.7,27.6,39.7,1.97,2022-08-22,2022-06-28,111.92905956461291,105.25420530682916,2022-08-29,2022-07-18
ABST,10.869999885559082,6.789999961853027,12.619999885559082,10.84471616744995,9.715271110534667,8.97693911075592,8.806655028661092,8.738496522903443,Technology | Software - Application | Canada,-,-,21.85,65.1,-750.1,-0.02,2022-09-01,2022-08-24,118.87598820185492,114.22845597671356,2022-07-11,2022-07-18
ACN,284.07000732421875,261.7699890136719,417.3699951171875,307.27950286865234,294.83356689453126,295.08632293701174,305.60443705240885,321.66015258789065,Technology | Information Technology Services | Ireland,27.56,2.17,36.45,21.8,16.0,12.04,2022-08-22,2022-07-19,108.8507992599178,103.9159932760098,2022-08-29,2022-07-18
WM,168.4499969482422,138.5800018310547,175.97999572753906,172.0164993286133,162.26279907226564,159.14270629882813,156.2425889078776,156.98455505371095,Industrials | Waste Management | USA,32.93,2.25,56.27,12.3,22.0,6.39,2022-08-23,2022-06-27,111.24567330263817,106.9853999539724,2022-05-30,2022-07-18
EVBG,39.22999954223633,24.100000381469727,167.39999389648438,36.50950002670288,31.77399990081787,36.17829990386963,38.85839996337891,48.54434997558594,Technology | Software - Application | USA,-,-,-,18.9,7.5,0.81,2022-07-13,2022-07-19,125.8593221574009,112.75499662356204,2022-07-11,2022-07-18
CXM,11.300000190734863,9.407999992370604,20.290000915527344,12.075999975204468,11.507399959564207,11.849999980926514,11.838133341471352,12.43230001449585,Technology | Software - Application | USA,-,-,-,30.6,-267.6,-0.12,2022-08-17,2022-07-05,111.03535761560892,104.97924889210924,2022-08-29,2022-07-18
AKAM,88.26000213623047,85.9000015258789,123.25,94.10750045776368,93.1288005065918,98.15860023498536,103.05280029296875,105.66045024871826,Technology | Software - Infrastructure | USA,25.1,2.35,13.27,5.9,16.6,5.72,2022-08-22,2022-07-19,102.94804339987078,99.46312471868102,2022-08-29,2022-07-18
CSIQ,44.380001068115234,22.14999961853028,47.68999862670898,42.82999973297119,36.6481999206543,33.32719999313355,32.82119998931885,32.55190002441406,Technology | Solar | Canada,20.3,1.69,-,61.9,-38.6,3.81,2022-08-30,2022-07-20,132.01920198161196,122.0950663653664,2022-07-11,2022-07-18
ADSK,198.69000244140625,163.1999969482422,344.3900146484375,217.8014991760254,201.74440032958984,196.52500030517575,203.56020009358724,220.0383000946045,Technology | Software - Application | USA,78.32,3.36,26.56,16.7,-58.8,7.82,2022-08-19,2022-07-15,118.4709272425456,109.67765448607874,2022-08-29,2022-07-18
VECO,19.729999542236328,17.229999542236328,32.400001525878906,22.104499912261964,20.73819995880127,21.323799953460693,23.43166661580404,24.43404996871948,Technology | Semiconductor Equipment & Materials | USA,28.76,-,36.87,12.1,379.8,1.66,2022-08-22,2022-07-14,114.45256863332412,105.71785054992476,2022-08-29,2022-07-18
