Ticker,Price,52-Week-Low,52-Week-High,20-MA,50-MA,100-MA,150-MA,200-MA,Sector,P/E,PEG,P/FCF,Sales Q/Q %,EPS this Y %,EPS next Y %,Death MACD,Golden MACD,MTUM-MA-25,MTUM-EMA-25,Weekly Death MACD,Weekly Golden MACD
QSI,3.0499999523162837,2.220000028610229,10.149999618530273,3.5514999747276312,3.216399993896484,3.52989999294281,3.831533322334289,4.465049992799759,Healthcare | Biotechnology | USA,,,,,82.5,-0.88,2022-08-19,2022-07-07,126.51975755190978,108.37288708701038,2022-06-13,2022-07-11
NWS,16.790000915527347,15.18000030517578,24.75,18.050500011444093,17.148999996185307,17.731799993515015,19.2330766359965,19.938717522621157,Communication Services | Broadcasting | USA,,,,6.7,,,2022-08-22,2022-06-24,109.77787006431852,103.53676151237735,2022-04-04,2022-07-11
ABBV,137.58999633789062,105.55999755859376,175.91000366210938,139.31400146484376,144.74073272705078,146.86020095825197,147.97299336751303,142.42653770446776,Healthcare | Drug Manufacturers - General | USA,19.46,,19.69,4.5,137.0,11.93,2022-08-24,2022-09-06,92.5001144322598,95.6894761786618,2022-07-18,2022-07-11
NLOK,22.11000061035156,21.549999237060547,30.920000076293945,23.3302978515625,23.57164134979248,23.87897254943848,25.10330115000407,25.122143630981444,Technology | Software - Infrastructure | USA,15.36,1.9,20.01,3.1,21.9,1.95,2022-08-08,2022-06-28,101.19984382542248,99.118345009613,2022-08-22,2022-07-11
NTAP,70.69999694824219,61.2599983215332,96.81999969482422,73.5114990234375,70.05473663330078,70.32487083435059,74.65054056803386,78.03770889282227,Technology | Computer Hardware | USA,16.97,1.69,27.49,9.2,26.7,6.06,2022-08-26,2022-08-25,109.53226036997927,104.26532372412625,2022-03-28,2022-07-11
ROST,86.72000122070312,69.23999786376953,124.37999725341795,88.4457347869873,82.3422280883789,85.53764114379881,87.61406478881834,92.31831249237058,Consumer Cyclical | Apparel Retail | USA,20.57,5.41,39.61,-4.1,-9.2,4.68,2022-08-23,2022-06-24,113.30591608396351,106.2091600762372,2022-05-16,2022-07-11
NVDA,134.64999389648438,132.69999694824222,346.4700012207031,168.86199951171875,167.94819976806642,175.1030508422851,199.02545593261718,220.86377319335938,Technology | Semiconductors | USA,44.15,1.89,58.4,3.0,123.1,4.49,2022-08-19,2022-08-15,106.607516328555,99.43551385117036,2022-08-29,2022-07-11
PTNR,8.380000114440918,3.920000076293945,9.270000457763672,8.444499969482424,7.924400014877318,7.6667000007629404,7.772000001271565,7.691650002002716,Communication Services | Telecom Services | Israel,28.03,14.01,17.49,2.3,569.1,,2022-09-06,2022-09-02,110.35489359882807,107.42849495017859,2022-02-07,2022-07-11
MU,55.22999954223633,51.4000015258789,98.4499969482422,59.680000114440915,59.9570352935791,63.824049072265616,69.71927047729493,74.09903926849366,Technology | Semiconductors | USA,6.3,13.12,13.82,16.4,116.2,3.92,2022-08-19,2022-08-12,101.61735704497916,97.45520416326605,2022-08-22,2022-07-11
NWSA,16.450000762939453,14.949999809265135,25.8700008392334,17.73850011825561,16.87199996948242,17.485099925994877,18.97553848266601,19.702763471603394,Communication Services | Broadcasting | USA,15.67,7.97,14.13,7.3,89.1,1.08,2022-08-19,2022-06-27,109.83997056260534,103.41682816429581,2022-04-04,2022-07-11
ON,66.05000305175781,41.88000106811523,76.77999877929688,69.61150016784669,62.45579971313477,59.28129989624024,59.44986668904623,60.34624990463257,Technology | Semiconductors | USA,17.11,0.89,21.9,24.9,306.8,4.94,2022-08-29,2022-08-25,125.13989689818683,114.5110080256092,2022-09-05,2022-07-11
MYNA,7.0999999046325675,,,8.0565500497818,8.10310001373291,8.564370002746582,9.188980013529461,10.212090029716492,Technology | Communication Equipment | Germany,,,,-43.6,,,2022-08-03,2022-06-30,102.39562571888986,98.65755438355431,2022-09-05,2022-07-11
MUSA,288.7099914550781,145.24000549316406,303.0899963378906,292.9543212890625,275.97048095703127,257.5454277038574,234.65855478922526,223.32017997741696,Consumer Cyclical | Specialty Retail | USA,13.24,2.94,11.14,51.9,14.1,14.23,2022-08-22,2022-08-18,112.231309667517,110.15526351025696,2022-08-29,2022-07-11
PANW,530.5399780273439,421.5499877929688,640.9000244140625,536.6400024414063,516.7920007324219,519.3238018798828,533.0060007731121,531.42135055542,Technology | Software - Infrastructure | USA,,,35.5,29.1,-87.8,11.41,2022-09-02,2022-08-23,105.77645812073992,103.90254364277736,2022-04-18,2022-07-04
AAPL,154.52999877929688,129.03999328613278,182.94000244140625,166.14900131225585,156.98582885742186,152.9403388977051,157.82393025716146,160.69544403076168,Technology | Consumer Electronics | USA,25.53,2.69,27.13,1.9,71.4,6.46,2022-08-22,2022-06-23,112.06494884468617,106.99094395292276,2022-09-05,2022-07-04
POOL,335.4700012207031,324.1400146484375,582.27001953125,365.80700225830077,365.31136474609383,379.8128198242188,402.03437642415366,433.6408166503906,Consumer Cyclical | Leisure | USA,17.36,1.02,,15.0,79.1,18.59,2022-08-23,2022-08-04,100.4504531547075,98.12260827493364,2022-08-22,2022-07-04
PLD,123.8000030517578,106.45999908447266,174.5399932861328,131.07300148010253,127.1918002319336,130.7877163696289,138.00792490641277,142.22419464111331,Real Estate | REIT - Industrial | USA,24.72,,105.58,8.8,96.4,3.35,2022-08-22,2022-06-22,106.39036279754608,102.40234613713696,2022-09-05,2022-07-04
